user_id,event_timestamp,months_active,monthly_fee,paperless_billing,plan_stream_tv,plan_stream_movies,watch_hours_30d,avg_session_mins_7d,failed_payments_90d,churn_label
5172-MIGPM,2024-01-31,4,65.55,False,False,True,28.409322177816,29.141044640845102,0,False
3900-AQPHZ,2024-01-31,1,19.900000000000002,False,True,True,30.0608447323632,29.141044640845102,0,False
8627-ZYGSZ,2024-01-31,47,78.9,True,False,False,35.2221798686062,29.141044640845102,0,False
0754-EEBDC,2024-01-31,4,19.900000000000002,False,True,True,27.50863383772,29.141044640845102,0,False
3413-BMNZE,2024-01-31,1,45.25,False,False,False,32.0431934762757,29.141044640845102,0,False
8865-TNMNX,2024-01-31,10,49.550000000000004,False,False,False,28.0491193437544,29.141044640845102,0,False
9489-DEDVP,2024-01-31,70,69.2,True,True,False,30.5851579954222,29.141044640845102,0,False
3410-YOQBQ,2024-01-31,31,79.2,False,True,True,36.3323702647991,29.141044640845102,1,False
9867-JCZSP,2024-01-31,17,20.75,False,True,True,16.3083216389297,29.141044640845102,0,True
0253-ZTEOB,2024-01-31,48,79.65,False,True,True,27.3883820102902,29.141044640845102,0,True
9987-LUTYD,2024-01-31,13,55.15,False,False,False,25.2306743543266,29.141044640845102,0,False
6234-RAAPL,2024-01-31,72,99.9,False,True,False,31.3765403196198,29.141044640845102,1,False
2520-SGTTA,2024-01-31,0,20.0,False,True,True,26.6539413067917,29.141044640845102,1,False
3170-NMYVV,2024-01-31,50,20.150000000000002,False,True,True,16.4990130699957,29.141044640845102,0,True
4671-VJLCL,2024-01-31,63,79.85000000000001,True,True,False,31.9364068125918,29.141044640845102,0,False
7410-OIEDU,2024-01-31,10,79.85000000000001,True,False,False,27.2834821633985,29.141044640845102,0,False
2273-QCKXA,2024-01-31,1,49.050000000000004,False,False,False,28.8094022355836,29.141044640845102,0,False
0731-EBJQB,2024-01-31,52,20.400000000000002,True,True,True,12.3906325428472,29.141044640845102,1,True
1891-QRQSA,2024-01-31,64,111.60000000000001,True,True,True,32.786126740773,29.141044640845102,0,False
4080-IIARD,2024-01-31,13,76.2,True,True,False,37.5934411275391,29.141044640845102,0,False
6047-YHPVI,2024-01-31,5,69.7,True,False,False,29.5829914159201,29.141044640845102,1,False
6572-ADKRS,2024-01-31,46,74.8,True,False,False,34.0307659125681,29.141044640845102,0,False
5380-WJKOV,2024-01-31,34,106.35000000000001,True,True,True,31.5567181914836,29.141044640845102,0,False
8168-UQWWF,2024-01-31,11,97.85000000000001,True,True,True,34.1025375166135,29.141044640845102,0,False
3714-NTNFO,2024-01-31,49,84.5,True,False,True,24.6041091393245,29.141044640845102,0,True
5948-UJZLF,2024-01-31,2,49.25,False,False,False,31.8790464618294,29.141044640845102,1,False
7760-OYPDY,2024-01-31,2,80.65,True,True,False,32.2596935240482,29.141044640845102,0,False
7639-LIAYI,2024-01-31,52,79.75,True,True,True,28.7657128690349,29.141044640845102,1,False
2954-PIBKO,2024-01-31,69,64.15,True,False,False,38.9124248499747,29.141044640845102,0,False
8012-SOUDQ,2024-01-31,43,90.25,True,True,False,36.9257704546626,29.141044640845102,0,True
9420-LOJKX,2024-01-31,15,99.10000000000001,True,True,True,28.8379157550085,29.141044640845102,0,True
6575-SUVOI,2024-01-31,25,69.5,True,True,False,28.8353232829427,29.141044640845102,0,True
7495-OOKFY,2024-01-31,8,80.65,True,False,False,33.9458568948722,29.141044640845102,0,False
